User_ID,Referral_Used,Gold_Member,New_User,Age_Group,Engagement_Score,Returned_Orders
16868,1,1,0,46-60,80,13
17766,0,0,0,18-25,8,10
15677,0,0,0,18-25,74,2
12775,1,1,0,36-45,88,27
10909,0,1,0,46-60,50,50
18460,0,0,0,46-60,31,24
16002,0,0,0,46-60,95,26
10792,1,0,0,26-35,76,38
18161,0,0,0,18-25,4,37
15019,0,0,0,36-45,92,5
19531,1,1,0,46-60,64,44
15380,0,0,0,46-60,5,53
15905,0,0,0,36-45,49,34
14906,1,0,0,46-60,10,38
15120,0,0,0,36-45,41,36
19375,0,0,0,46-60,43,4
13513,0,0,0,26-35,29,11
14172,0,1,1,18-25,29,32
19310,1,0,0,18-25,29,2
17100,0,1,0,36-45,91,36
14329,0,0,0,36-45,63,2
16757,0,0,0,26-35,10,31
15093,0,0,0,36-45,63,45
17120,0,1,0,36-45,6,44
14592,0,0,0,26-35,44,48
12384,0,1,1,26-35,32,35
19994,0,1,0,36-45,88,28
19238,0,0,0,26-35,19,1
14827,0,1,1,26-35,36,21
16419,0,1,0,46-60,43,20
12345,0,0,0,18-25,14,5
12438,0,0,0,26-35,41,35
12824,1,0,0,18-25,84,21
10811,1,0,0,18-25,35,14
18062,0,1,0,46-60,47,25
16937,0,0,0,36-45,87,5
15620,0,0,1,46-60,61,36
18193,0,0,0,46-60,82,45
15409,0,0,0,36-45,2,13
16634,0,0,0,18-25,32,41
17784,1,1,0,36-45,23,11
14131,0,0,0,46-60,67,40
16699,0,1,0,26-35,99,46
18532,0,0,0,36-45,4,28
18047,0,0,0,36-45,6,32
17551,0,0,0,36-45,70,37
13675,1,0,0,36-45,2,40
18321,0,0,0,36-45,77,27
17138,0,0,0,36-45,41,25
15762,1,0,0,26-35,42,23
17287,0,1,0,36-45,44,14
15180,0,0,0,26-35,89,23
18018,0,1,0,18-25,57,22
15659,0,1,0,26-35,30,44
15838,0,0,0,26-35,46,11
10569,0,0,0,46-60,25,45
15257,0,0,0,26-35,92,45
19386,0,1,0,36-45,40,44
17828,0,0,0,18-25,88,45
15890,0,0,0,36-45,76,1
19057,1,0,0,26-35,79,42
10907,0,0,0,36-45,84,29
17495,0,0,0,36-45,16,41
17458,0,0,0,26-35,95,44
12834,1,0,0,26-35,22,19
18552,0,1,0,18-25,23,29
10557,0,1,0,36-45,66,23
11145,0,0,0,26-35,83,20
14342,0,0,0,46-60,8,7
13244,1,0,0,36-45,20,33
17715,0,1,0,46-60,61,40
15306,0,0,1,46-60,93,30
17699,0,0,0,46-60,52,2
10640,1,0,0,46-60,15,19
13748,1,0,0,26-35,78,48
18811,0,0,0,26-35,39,20
14428,1,1,1,46-60,14,8
10494,0,0,0,26-35,20,12
11280,1,1,0,18-25,2,33
12238,0,0,0,36-45,7,29
14688,0,1,0,36-45,34,45
15444,0,0,0,36-45,34,43
19430,0,1,0,26-35,61,17
18027,0,0,0,26-35,19,53
19080,0,0,0,18-25,11,33
16920,0,0,0,26-35,34,52
19470,0,1,0,46-60,42,42
13495,0,0,0,46-60,55,46
17345,0,0,0,26-35,17,20
18190,1,0,0,46-60,64,2
19523,0,1,0,26-35,45,52
11143,0,0,0,46-60,63,52
10221,0,0,0,26-35,90,26
12078,0,0,1,46-60,7,34
13736,0,0,0,26-35,58,17
16771,0,0,0,26-35,31,44
14932,0,1,0,36-45,33,38
16950,0,0,0,18-25,49,15
16233,0,1,0,36-45,78,41
16145,0,0,1,46-60,88,39
18937,0,0,0,18-25,89,4
17372,0,0,0,36-45,78,8
16997,0,0,0,36-45,34,13
18095,0,1,0,36-45,12,47
12906,1,0,0,36-45,74,22
12592,0,0,1,36-45,33,17
11938,0,0,0,36-45,43,21
14772,0,1,0,36-45,97,37
10320,0,1,0,36-45,55,6
13739,0,0,0,36-45,53,38
17384,0,0,0,36-45,47,19
17988,0,0,0,36-45,84,31
16772,1,0,0,18-25,21,50
15595,0,0,0,26-35,29,28
18011,0,0,0,18-25,96,23
13553,0,0,1,18-25,81,21
11733,1,1,0,46-60,27,36
17742,0,0,0,18-25,83,24
11677,0,0,0,46-60,50,19
18762,0,0,0,18-25,35,15
14798,1,0,0,46-60,51,1
19938,1,0,0,18-25,15,13
11713,0,0,0,18-25,29,40
11095,0,0,0,46-60,94,2
19738,0,0,0,46-60,18,36
11919,0,0,1,26-35,21,45
18255,0,0,0,36-45,40,12
18829,0,0,0,36-45,94,5
12637,1,0,0,36-45,26,48
15788,1,0,0,46-60,13,30
12172,0,0,0,26-35,92,53
15767,0,0,0,36-45,76,26
16033,0,0,1,26-35,96,44
18249,1,0,0,26-35,74,14
19321,0,0,0,26-35,53,2
18136,0,0,0,18-25,32,24
10637,0,0,0,26-35,80,44
16609,1,0,0,46-60,86,20
13264,1,0,0,36-45,5,17
16155,0,0,0,46-60,80,28
17776,0,0,0,36-45,44,36
19907,0,1,0,46-60,90,7
17044,0,0,0,18-25,36,20
10014,1,0,0,26-35,1,1
16619,0,0,0,36-45,60,52
16069,0,0,0,36-45,100,19
12285,0,0,0,46-60,95,8
13642,0,0,0,46-60,32,41
13560,0,1,0,18-25,36,25
13785,1,0,0,26-35,87,22
14411,0,0,0,26-35,54,13
19710,0,0,0,26-35,6,7
19418,0,0,0,36-45,2,36
10316,0,0,0,18-25,17,18
16509,0,1,0,18-25,7,5
10583,0,1,0,36-45,4,32
19895,0,0,0,36-45,48,8
16435,0,0,0,18-25,84,13
10135,0,0,0,46-60,85,52
16844,1,0,0,46-60,15,7
18661,0,0,0,36-45,60,50
18221,0,0,0,36-45,68,48
13373,0,1,0,26-35,33,22
13042,0,0,0,36-45,82,18
18303,0,0,0,26-35,100,47
13927,0,1,0,36-45,6,50
13769,0,0,1,36-45,6,7
19773,0,0,0,26-35,57,29
11113,0,1,1,36-45,59,1
16428,1,0,0,36-45,2,51
19395,0,0,1,18-25,19,27
14736,0,1,0,18-25,41,52
17685,0,1,0,26-35,43,50
19362,0,0,0,26-35,67,23
12082,0,1,0,18-25,76,4
17618,0,0,0,36-45,48,27
16650,0,0,0,36-45,32,23
17073,0,0,0,18-25,63,21
14487,0,1,0,46-60,86,34
12219,0,0,0,26-35,54,49
12377,0,1,0,36-45,87,22
17507,0,1,0,36-45,69,5
11532,0,1,0,26-35,43,17
13256,0,0,0,26-35,43,9
13093,0,0,0,46-60,36,50
12471,0,1,1,36-45,78,18
10383,0,0,0,26-35,16,14
12568,0,0,0,36-45,1,52
19020,0,1,0,26-35,60,48
10039,0,0,0,46-60,18,49
18295,0,0,0,36-45,34,51
13886,1,1,0,46-60,26,42
10309,0,1,0,36-45,37,28
12130,0,0,0,46-60,50,15
19455,0,0,0,26-35,62,38
12545,1,1,0,26-35,95,48
16003,1,0,0,26-35,81,27
16103,0,0,0,46-60,4,39
11576,0,1,0,18-25,8,7
16992,0,0,0,36-45,51,29
18432,0,1,0,46-60,92,50
13183,0,0,0,18-25,55,9
18822,0,0,0,36-45,26,41
12457,0,0,0,36-45,42,23
11815,0,0,0,26-35,67,10
19653,1,1,1,26-35,86,9
12234,1,0,0,26-35,85,19
14305,0,0,0,46-60,33,3
18149,0,0,0,36-45,49,18
11512,0,0,0,26-35,53,26
19576,0,0,0,46-60,93,47
17650,1,1,0,36-45,54,3
11825,0,0,0,46-60,14,46
11693,0,1,0,46-60,53,49
13506,0,0,0,36-45,30,34
11443,0,0,1,26-35,83,42
10798,0,1,1,26-35,63,38
12792,0,0,0,36-45,3,40
14352,0,0,0,18-25,44,34
19016,0,1,0,18-25,98,7
18619,1,0,1,46-60,14,9
15299,1,0,0,18-25,47,45
14990,0,0,1,46-60,42,5
16865,0,0,0,18-25,70,36
11342,0,0,0,26-35,16,2
12395,1,0,0,26-35,60,26
12071,0,0,0,18-25,42,34
13397,0,1,0,36-45,70,40
14980,0,1,0,46-60,70,12
14086,0,1,0,18-25,85,33
10192,0,0,0,46-60,93,49
15758,0,1,0,36-45,63,19
16592,0,0,0,18-25,37,37
15740,0,0,1,46-60,51,22
12805,0,0,0,46-60,3,30
16859,0,0,0,36-45,23,53
13876,0,0,0,46-60,24,51
17130,0,0,0,36-45,25,9
14704,1,0,1,46-60,8,1
15536,0,0,1,46-60,77,53
15618,0,0,1,18-25,17,31
10962,0,0,0,46-60,78,40
14570,0,1,0,46-60,35,17
15015,0,0,0,18-25,65,14
18535,1,1,0,36-45,68,26
14842,0,1,0,46-60,9,31
10263,0,0,1,36-45,92,51
11602,0,0,1,26-35,31,13
17202,0,0,0,18-25,24,2
19521,0,0,0,26-35,95,11
14501,0,0,0,26-35,40,33
11330,0,0,0,26-35,72,42
12633,0,0,0,46-60,73,51
13646,0,0,0,46-60,54,19
